"t","answer","prob1L","prob2L","prob3L","prob1R","prob2R","prob3R","prize1","prize2","prize3"
1,"Left lottery",0,0.400000006,0.600000024,0.100000001,0,0.899999976,10,20,30
2,"Right lottery",0.180000007,0.660000026,0.159999996,0.119999997,0.839999974,0.039999999,10,20,30
3,NA,0.699999988,0,0.300000012,0.600000024,0.25,0.150000006,10,20,30
4,NA,0.810000002,0.100000001,0.090000004,0.769999981,0.200000003,0.029999999,10,20,30
5,NA,0.620000005,0.200000003,0.180000007,0.680000007,0.050000001,0.270000011,10,20,30
6,"Right lottery",0.400000006,0.600000024,0,0.5,0.400000006,0.100000001,10,20,30
7,NA,0.200000003,0.200000003,0.600000024,0.100000001,0.600000024,0.300000012,10,20,30
8,NA,0.660000026,0.100000001,0.239999995,0.540000021,0.400000006,0.059999999,10,20,30
9,NA,0.5,0,0.5,0,1,0,10,20,30
10,NA,0.02,0.949999988,0.029999999,0.079999998,0.800000012,0.119999997,10,20,30
11,NA,0.779999971,0.059999999,0.159999996,0.720000029,0.239999995,0.039999999,10,20,30
12,NA,0.519999981,0.449999988,0.029999999,0.579999983,0.300000012,0.119999997,10,20,30
13,NA,0,1,0,0.100000001,0.600000024,0.300000012,10,20,30
14,NA,0.100000001,0,0.899999976,0,0.300000012,0.699999988,10,20,30
15,NA,0.5,0.300000012,0.200000003,0.600000024,0,0.400000006,10,20,30
16,NA,0.150000006,0.75,0.100000001,0,1,0,10,20,30
17,NA,0.449999988,0.400000006,0.150000006,0.5,0.200000003,0.300000012,10,20,30
18,NA,0.059999999,0.899999976,0.039999999,0.119999997,0.800000012,0.079999998,10,20,30
19,NA,0,1,0,0.400000006,0,0.600000024,10,20,30
20,NA,0.200000003,0.600000024,0.200000003,0.400000006,0,0.600000024,10,20,30
21,NA,0.02,0.920000017,0.059999999,0.079999998,0.680000007,0.239999995,10,20,30
22,NA,0.479999989,0.439999998,0.079999998,0.439999998,0.519999981,0.039999999,10,20,30
23,NA,0.699999988,0,0.300000012,0.5,0.5,0,10,20,30
24,NA,0.800000012,0,0.200000003,0.699999988,0.300000012,0,10,20,30
25,NA,0.829999983,0.140000001,0.029999999,0.879999995,0.039999999,0.079999998,10,20,30
26,NA,0,0.25,0.75,0.100000001,0,0.899999976,10,20,30
27,NA,0.600000024,0.25,0.150000006,0.5,0.5,0,10,20,30
28,NA,0,1,0,0.100000001,0.75,0.150000006,10,20,30
29,NA,0.540000021,0.039999999,0.419999987,0.519999981,0.119999997,0.360000014,10,20,30
30,NA,0.400000006,0.600000024,0,0.5,0.300000012,0.200000003,10,20,30
31,NA,0.5,0.200000003,0.300000012,0.400000006,0.600000024,0,10,20,30
32,NA,0.079999998,0.079999998,0.839999974,0.02,0.319999993,0.660000026,10,20,30
33,NA,0.5,0.200000003,0.300000012,0.550000012,0,0.449999988,10,20,30
34,NA,0.479999989,0.360000014,0.159999996,0.419999987,0.540000021,0.039999999,10,20,30
35,NA,0.839999974,0.100000001,0.059999999,0.779999971,0.200000003,0.02,10,20,30
36,NA,0.180000007,0.200000003,0.620000005,0.270000011,0.050000001,0.680000007,10,20,30
37,NA,0.100000001,0.800000012,0.100000001,0.5,0,0.5,10,20,30
38,NA,0.5,0.400000006,0.100000001,0.699999988,0,0.300000012,10,20,30
39,NA,0.649999976,0.100000001,0.25,0.550000012,0.300000012,0.150000006,10,20,30
40,NA,0.529999971,0.209999993,0.25999999,0.579999983,0.059999999,0.360000014,10,20,30
41,NA,0.600000024,0,0.400000006,0,1,0,10,20,30
42,NA,0.899999976,0,0.100000001,0.75,0.25,0,10,20,30
43,NA,0.75,0.25,0,0.850000024,0,0.150000006,10,20,30
44,NA,0.119999997,0.300000012,0.579999983,0.029999999,0.449999988,0.519999981,10,20,30
45,NA,0.079999998,0.050000001,0.870000005,0.039999999,0.150000006,0.810000002,10,20,30
46,NA,0.270000011,0.050000001,0.680000007,0.029999999,0.449999988,0.519999981,10,20,30
47,NA,0,1,0,0.25,0,0.75,10,20,30
48,NA,0.100000001,0.75,0.150000006,0.400000006,0,0.600000024,10,20,30
49,NA,0.649999976,0.100000001,0.25,0.449999988,0.5,0.050000001,10,20,30
50,NA,0.100000001,0.899999976,0,0.200000003,0.600000024,0.200000003,10,20,30
51,NA,0,0.5,0.5,0.300000012,0,0.699999988,10,20,30
52,NA,0.150000006,0.25,0.600000024,0,0.5,0.5,10,20,30
53,NA,0.100000001,0.600000024,0.300000012,0.25,0,0.75,10,20,30
54,NA,0.379999995,0.050000001,0.569999993,0.039999999,0.899999976,0.059999999,10,20,30
55,NA,0,0.25,0.75,0.150000006,0,0.850000024,10,20,30
56,NA,0.379999995,0.050000001,0.569999993,0.140000001,0.649999976,0.209999993,10,20,30
57,NA,0.150000006,0.25,0.600000024,0.300000012,0,0.699999988,10,20,30
58,NA,0.649999976,0.200000003,0.150000006,0.680000007,0.079999998,0.239999995,10,20,30
59,NA,0.899999976,0,0.100000001,0.800000012,0.200000003,0,10,20,30
