prob1L,prob2L,prob3L,prob1R,prob2R,prob3R
0.059999999,0.899999976,0.039999999,0.119999997,0.800000012,0.079999998
0.029999999,0.200000003,0.769999981,0.119999997,0.050000001,0.829999983
0.899999976,0,0.100000001,0.75,0.25,0
0.5,0.200000003,0.300000012,0.400000006,0.600000024,0
0.649999976,0.100000001,0.25,0.449999988,0.5,0.050000001
0.270000011,0.050000001,0.680000007,0.029999999,0.449999988,0.519999981
0,0.200000003,0.800000012,0.100000001,0,0.899999976
0.75,0.25,0,0.850000024,0,0.150000006
0.02,0.920000017,0.059999999,0.079999998,0.680000007,0.239999995
0.180000007,0.660000026,0.159999996,0.119999997,0.839999974,0.039999999
0.600000024,0,0.400000006,0,1,0
0,1,0,0.100000001,0.75,0.150000006
0.079999998,0.039999999,0.879999995,0.050000001,0.100000001,0.850000024
0.100000001,0.899999976,0,0.200000003,0.600000024,0.200000003
0.150000006,0.75,0.100000001,0,1,0
0.449999988,0.400000006,0.150000006,0.5,0.200000003,0.300000012
0,1,0,0.100000001,0.600000024,0.300000012
0.5,0.300000012,0.200000003,0.600000024,0,0.400000006
0.839999974,0.100000001,0.059999999,0.779999971,0.200000003,0.02
0.219999999,0.119999997,0.660000026,0.129999995,0.479999989,0.389999986
0.540000021,0.039999999,0.419999987,0.519999981,0.119999997,0.360000014
0.200000003,0.600000024,0.200000003,0.449999988,0.100000001,0.449999988
0.479999989,0.360000014,0.159999996,0.419999987,0.540000021,0.039999999
0.899999976,0,0.100000001,0.800000012,0.200000003,0
0,0.5,0.5,0.300000012,0,0.699999988
0.379999995,0.050000001,0.569999993,0.039999999,0.899999976,0.059999999
0.550000012,0.150000006,0.300000012,0.449999988,0.449999988,0.100000001
0.600000024,0,0.400000006,0.400000006,0.600000024,0
0.100000001,0.75,0.150000006,0.400000006,0,0.600000024
0.400000006,0,0.600000024,0.100000001,0.899999976,0
0.200000003,0.600000024,0.200000003,0.400000006,0,0.600000024
0.620000005,0.200000003,0.180000007,0.680000007,0.050000001,0.270000011
0.379999995,0.050000001,0.569999993,0.140000001,0.649999976,0.209999993
0,0.400000006,0.600000024,0.100000001,0,0.899999976
0.699999988,0,0.300000012,0.600000024,0.400000006,0
0.519999981,0.449999988,0.029999999,0.579999983,0.300000012,0.119999997
0.200000003,0.200000003,0.600000024,0.100000001,0.600000024,0.300000012
0.660000026,0.100000001,0.239999995,0.540000021,0.400000006,0.059999999
0,0.25,0.75,0.100000001,0,0.899999976
0,1,0,0.25,0,0.75
0.550000012,0,0.449999988,0.400000006,0.600000024,0
0.5,0,0.5,0,1,0
0.810000002,0.100000001,0.090000004,0.769999981,0.200000003,0.029999999
0.400000006,0.600000024,0,0.5,0.400000006,0.100000001
0.829999983,0.140000001,0.029999999,0.879999995,0.039999999,0.079999998
0.5,0.400000006,0.100000001,0.699999988,0,0.300000012
0.600000024,0.25,0.150000006,0.5,0.5,0
0.100000001,0.800000012,0.100000001,0.449999988,0.100000001,0.449999988
0.699999988,0,0.300000012,0.5,0.5,0
0.649999976,0.200000003,0.150000006,0.680000007,0.079999998,0.239999995
0.400000006,0.600000024,0,0.5,0.300000012,0.200000003
0.779999971,0.059999999,0.159999996,0.720000029,0.239999995,0.039999999
0.150000006,0.25,0.600000024,0.300000012,0,0.699999988
0.540000021,0.100000001,0.360000014,0.059999999,0.899999976,0.039999999
0.100000001,0.800000012,0.100000001,0.5,0,0.5
0.349999994,0.150000006,0.5,0.150000006,0.75,0.100000001
0.600000024,0,0.400000006,0.150000006,0.75,0.100000001
0.400000006,0.600000024,0,0.699999988,0,0.300000012
0.100000001,0.600000024,0.300000012,0.25,0,0.75
0.529999971,0.209999993,0.25999999,0.579999983,0.059999999,0.360000014
0.079999998,0.079999998,0.839999974,0.02,0.319999993,0.660000026
0.079999998,0.050000001,0.870000005,0.039999999,0.150000006,0.810000002
0.699999988,0,0.300000012,0.600000024,0.25,0.150000006
0.800000012,0,0.200000003,0.699999988,0.300000012,0
0.02,0.949999988,0.029999999,0.079999998,0.800000012,0.119999997
0.5,0.200000003,0.300000012,0.550000012,0,0.449999988
0.180000007,0.200000003,0.620000005,0.270000011,0.050000001,0.680000007
0,1,0,0.400000006,0,0.600000024
0.119999997,0.300000012,0.579999983,0.029999999,0.449999988,0.519999981
0.100000001,0,0.899999976,0,0.300000012,0.699999988
0.079999998,0.839999974,0.079999998,0.050000001,0.899999976,0.050000001
0,1,0,0.100000001,0.800000012,0.100000001
0,0.25,0.75,0.150000006,0,0.850000024
0.479999989,0.280000001,0.239999995,0.439999998,0.439999998,0.119999997
0.649999976,0.100000001,0.25,0.550000012,0.300000012,0.150000006
0.25,0.449999988,0.300000012,0.349999994,0.150000006,0.5
0.180000007,0.699999988,0.119999997,0.540000021,0.100000001,0.360000014
0.479999989,0.439999998,0.079999998,0.439999998,0.519999981,0.039999999
0.150000006,0.25,0.600000024,0,0.5,0.5
0.079999998,0.059999999,0.860000014,0.02,0.239999995,0.74000001
